Size,toolchain,instrumentation,nodes,cores,benchmark,grand_mean_avg,se_avg,median_p50,mean_p90,worst_p90,mean_p99,worst_p99
64,gompi2024a,ON,4,4,collective-osu_allgather,3.0300000000000002,0.002981423969999722,2.99,3.114,3.13,3.997,4.08
64,gompi2024a,ON,4,4,collective-osu_allreduce,3.059,0.004333333333333329,3.02,3.145,3.17,3.9899999999999998,4.13
64,gompi2024a,ON,4,104,collective-osu_allgather,14.844999999999999,0.04405173725922234,13.925,18.77,19.13,21.603,21.88
64,gompi2024a,ON,4,104,collective-osu_allreduce,10.608,0.041009483997945816,10.504999999999999,10.818000000000001,10.94,12.768,13.45
64,intel2024a,OFF,1,4,collective-osu_allgather,0.759,0.003785938897200185,0.76,0.776,0.8,0.8109999999999999,0.84
64,intel2024a,OFF,1,4,collective-osu_allreduce,0.6519999999999999,0.010088497300281028,0.635,0.716,0.8,0.78,0.85
64,intel2024a,OFF,1,104,collective-osu_allgather,10.459999999999999,0.05998147862280306,10.225000000000001,11.538,12.01,14.88,16.23
64,intel2024a,OFF,1,104,collective-osu_allreduce,5.167,0.07075858801430239,5.029999999999999,6.101999999999999,6.32,8.274,9.51
64,intel2024a,OFF,4,4,collective-osu_allgather,3.003,0.0026034165586354954,2.98,3.1580000000000004,3.17,3.315,3.35
64,intel2024a,OFF,4,4,collective-osu_allreduce,2.0469999999999997,0.004955356249106172,2.025,2.2359999999999998,2.28,2.376,2.43
64,intel2024a,OFF,4,104,collective-osu_allgather,22.910999999999998,0.01409885732170451,22.77,23.448,23.55,24.9,25.36
64,intel2024a,OFF,4,104,collective-osu_allreduce,5.364,0.011372481406154664,5.324999999999999,5.654,5.74,6.241,6.67
64,intel2024a,ON,1,4,collective-osu_allgather,1.06,0.003333333333333336,1.03,1.057,1.07,2.186,2.49
64,intel2024a,ON,1,4,collective-osu_allreduce,0.933,0.008171767114754168,0.91,0.994,1.07,2.053,2.11
64,intel2024a,ON,1,104,collective-osu_allgather,10.885,0.024278476979506865,10.645,12.064,12.19,15.925,17.79
64,intel2024a,ON,1,104,collective-osu_allreduce,5.821,0.07473583106144237,5.8149999999999995,6.764,6.99,8.83,9.75
64,intel2024a,ON,4,4,collective-osu_allgather,3.311,0.001795054935711493,3.29,3.4520000000000004,3.46,4.203,4.33
64,intel2024a,ON,4,4,collective-osu_allreduce,2.357,0.010651030205780294,2.32,2.518,2.6,3.2979999999999996,3.36
64,intel2024a,ON,4,104,collective-osu_allgather,23.309,0.014333333333333273,23.119999999999997,23.986,24.14,25.648000000000003,25.92
64,intel2024a,ON,4,104,collective-osu_allreduce,5.669,0.015088627063675019,5.595,5.9270000000000005,6.0,7.584999999999999,7.84
128,gompi2024a,OFF,1,4,collective-osu_allgather,1.178,0.003265986323710907,1.06,1.668,1.7,2.654,2.74
128,gompi2024a,OFF,1,4,collective-osu_allreduce,1.304,0.005416025603090645,1.08,2.279,2.33,3.714,3.92
128,gompi2024a,OFF,1,104,collective-osu_allgather,15.245,0.04477722635447624,14.84,16.492,16.69,22.121000000000002,23.69
128,gompi2024a,OFF,1,104,collective-osu_allreduce,9.155,0.05572252686302011,8.665,11.529,11.91,15.541,16.49
128,gompi2024a,OFF,4,4,collective-osu_allgather,3.152,0.0069602043392737005,3.135,3.2409999999999997,3.28,3.346,3.38
128,gompi2024a,OFF,4,4,collective-osu_allreduce,2.9379999999999997,0.010198039027185577,2.915,3.023,3.08,3.1550000000000002,3.25
128,gompi2024a,OFF,4,104,collective-osu_allgather,23.519,0.05665588132655659,23.4,24.437,24.69,26.072000000000003,26.49
128,gompi2024a,OFF,4,104,collective-osu_allreduce,13.950999999999999,0.029266970385667803,12.91,18.341,18.52,21.986,22.23
128,gompi2024a,ON,1,4,collective-osu_allgather,1.412,0.012274635093014626,1.2850000000000001,1.8780000000000001,1.95,3.075,3.2
128,gompi2024a,ON,1,4,collective-osu_allreduce,1.55,0.014981470036162832,1.315,2.524,2.6,4.018,4.36
128,gompi2024a,ON,1,104,collective-osu_allgather,15.753,0.023525399984791747,15.33,17.109,17.3,23.244,24.28
128,gompi2024a,ON,1,104,collective-osu_allreduce,10.001999999999999,0.24138397258770566,9.31,12.178,12.55,15.850999999999999,16.73
128,gompi2024a,ON,4,4,collective-osu_allgather,3.3259999999999996,0.0077746025264604215,3.285,3.408,3.42,4.173,4.61
128,gompi2024a,ON,4,4,collective-osu_allreduce,3.117,0.009893881386437207,3.07,3.192,3.22,3.9859999999999998,4.11
128,gompi2024a,ON,4,104,collective-osu_allgather,23.503,0.04980071396186129,23.32,24.456,24.73,26.141000000000002,26.52
128,gompi2024a,ON,4,104,collective-osu_allreduce,14.327000000000002,0.04008463268857266,13.355,18.607,18.89,22.608,22.92
128,intel2024a,OFF,1,4,collective-osu_allgather,0.766,0.005999999999999994,0.76,0.789,0.85,0.849,0.94
128,intel2024a,OFF,1,4,collective-osu_allreduce,0.714,0.010770329614269008,0.715,0.7849999999999999,0.84,0.861,0.9
128,intel2024a,OFF,1,104,collective-osu_allgather,14.002,0.05711197578247298,13.7,15.281,15.64,19.766,20.6
128,intel2024a,OFF,1,104,collective-osu_allreduce,4.89,0.18208056824750227,4.545,5.654999999999999,7.11,7.465999999999999,9.64
128,intel2024a,OFF,4,4,collective-osu_allgather,3.401,0.08551088299807874,3.275,3.463,3.47,3.63,3.69
128,intel2024a,OFF,4,4,collective-osu_allreduce,2.0759999999999996,0.004000000000000006,2.0549999999999997,2.258,2.29,2.403,2.51
128,intel2024a,OFF,4,104,collective-osu_allgather,36.010000000000005,0.021550973166993108,35.905,36.398,36.55,37.503,37.74
